Butterscotch Brulee Latte,T,T,,T,,,,,,,,,,,
Toffee nut latte,,,,,,,,,,,,,,,
Gingerbread Latte,,,,T,,,,,,,,,,,
Egg Nog Latte,,,,,,,,,,,,,,,
Caffe Latte,,,,,,,,,,,,,,,
Coconut Milk Latte,,,,,,,,,,,,,,,
Cappuccino,,,,,,,,,,,,,,,
Caffe Americano,,,,,,,,,,,,,,,
Caramel Macchiato,,,,,,,,,,,,,,,
Flat White,,,,,,,,,,,,,,,
Piccino,,,,,,,,,,,,,,,
Espresso,,,,,,,,,,,,,,,
Espresso Macchiato,,,,,,,,,,,,,,,
Green tea Latte,,,T,,,,,,,,,,,,
Espresso Con Panna,,,,,,,,,,,,,,,
MOCHA,,,,,,,,,,,,,,,
Caffe Mocha,,,T,,,,,,,,,,,,
White Caffe Mocha,,,,,,,,,,,,,,,
HOT CHOCOLATE,,,,,,,,,,,,,,,
Classic Hot Chocolate,,,"TT",,,,,,,,,,,,
Molten Hot Chocolate,,,,,,,,,,,,,,,
Fudge Hot Chocolate,,,,,,,,,,,,,,,
Signature Hot Chocolate,,,,,,,,,,,,,,,
Kids Hot Chocolate,,,T,,,,,,,,,,,,
FILTER COFFEE,,,,,,,,,,,,,,,
Cold Brew,,,,,,,,,,,,,,,
Filter Coffee,,,,,,,,,,,,,,,
TEA,,,,,,,,,,,,,,,
Chai Tea Latte,,,,,,,,,,,,,,,
Full Leaf Tea,,,,,,,,,,,,,,,
Earl Grey Tea,,,,,,,,,,,,,,,
Hibiscus Tea,,,,,,,,,,,,,,,
Emperor's Clouds & Mist Tea,,,,,,,,,,,,,,,
Mint Citrus Green Tea,,,,,,,,,,,,,,,
Mint Blend Tea,,,,,,,,,,,,,,,
Youthberry Tea,,,,,,,,,,,,,,,
Chamomile Tea,,,,,,,,,,,,,,,
Jasmine Pearls Tea,,,,,,,,,,,,,,,
Chai Tea,,,,,,,,,,,,,,,
"",Iced Shaken Peach Green Tea Lemonade,,,,,,,,,,,,,,,
"",Iced Shaken Green Tea Lemonade,,,,,,,,,,,,,,,
"",Iced Shaken Hibiscus Tea Lemonade,,,,,,,,,,,,,,,
"",Iced Shaken Black Tea Lemonade,,,,,,,,,,,,,,,
"",Iced Shaken Green Tea,,,,,,,,,,,,,,,
"",Iced Shaken Hibiscus Tea,,,,,,,,,,,,,,,
"",Iced Shaken Black Tea,,,,,,,,,,,,,,,
"",FRAPPUCCINO®,,,,,,,,,,,,,,,
"",Smores Frappuccino,,,,,,,,,,,,,,,
"",Smores Crème Frappuccino,,,,,,,,,,,,,,,
"",Smores Banana Caramel,,,,T,,,,,,,,,,,
"",Molten Chocolate Frappuccino,,,T,,,,,,,,,,,,
"",Gingerbread frappuccino,,,,T,,,,,,,,,,,
"",Chocolate fudge Frappuccino,,,,,,,,,,,,,,,
"",Toffee nut frappuccino,,,,,,,,,,,,,,,
"",Java Chipp,,,T,,,,,,,,,,,,
"",Caramel,,,,,,,,,,,,,,,
"",Coffee,,,,,,,,,,,,,,,
"",Mocha,,,T,,,,,,,,,,,,
"",Espresso,,,,,,,,,,,,,,,
"",Strawberries and Cream,,,,,,,,,,,,,,,
"",Caramel Cream,,,,,,,,,,,,,,,
"",Chocolate Cream,,,,,,,,,,,,,,,
"",White chocolate,,,,,,,,,,,,,,,
"",Green tea Frappuccino,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,
"",JUICE BLENDED FRAPPUCCINO®,,,,,,,,,,,,,,,
"",Mango and Passionfruit Juice Blend,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,
Sugar Free Caramel,,,,,,,,,,,,,,,
Sugar Free Vanilla,,,,,,,,,,,,,,,
Sugar Free Hazelnut,,,,,,,,,,,,,,,
Hazelnut,,,,,,,,,,,,,,,
Vanilla,,,,,,,,,,,,,,,
Caramel,,,,,,,,,,,,,,,
Almond,,,,,,,,,,,,,,,
Fudge syrup,,,,,,,,,,,,,,,
Peach syrup,,,,,,,,,,,,,,,
"Simple SyrupChocolate drizzle",,,,,,,,,,,,,,,
"",,,T,,,,,,,,,,,,
Caramel Drizzle,,,ü,,,,,,,,,,,,
Whipped Cream,,,ü,,,,,,,,,,,,
Crème,,,,,,,,,,,,,,,
Light,,,,,,,,,,,,,,,
Coffee,,,,,,,,,,,,,,,
Strawberry Sauce,,,,,,,,,,,,,,,
Eggnog,,,ü,,,ü,,,,,,,,,
Chai Tea Concentrate,,,,,,,,,,,,,,,
Raspberry Black Currant,,,,,,,,,,,,,,,
Mango Passion,,,,,,,,,,,,,,,
Hot Choc Pdr Mix 1kg Selecta,,,ü,,,,,,,,,,,,
Green Tea (Matcha)  Powder,,,T,,,,,,,,,,,,
White Choc Mocha,,,,,,,,,,,,,,,
Signature Choc Powder,,,,,,,,,,,,,,,
Bar Mocha Powder,,,T,,,,,,,,,,,,
RTU Mocha Syrup,,,,,,,,,,,,,,,
Java Chip,,,T,,,,,,,,,,,,
Soy Dairy Alternative,,,,,,,,,,,,,,,
Coconut Dairy Alternative,,,,,,,,,,,,,,,
Whole Milk,,,,,,,,,,,,,,,
Semi Skimmed Milk,,,,,,,,,,,,,,,
Skimmed Milk,,,,,,,,,,,,,,,
Yoghurt,,,,,,,,,,,,,,,
Lemonade,,,,,,,,,,,,,,,
Apple juice,,,,,,,,,,,,,,,
Pumpkin spice sauce,,,,,,,,,,,,,,,
Butterscotch Sauce,,,,,,,,,,,,,,,
Mocha Cookie Crumble,,,,,,,,,,,,,,,
Frapp Chips,,,T,,,,,,,,,,,,
Pumpkin Spice Topping,,,,,,,,,,,,,,,
Vanilla Sugar,,,,,,,,,,,,,,,
Bar Cinnamon Powder,,,,,,,,,,,,,,,
Bar Nutmeg Powder,,,,,,,,,,,,,,,
Waffle Pieces,,,,T,,,,,,,,,,,
Toffee Nut Sprinkles,,,,,,,,,,,,,,,
Gold chocolate curls,,,,,,,,,,,,,,,
Brulee topping,T,T,,T,,,,,,,,,,,
